YouTube Identifier,label_start_timestamp_seconds,label_end_timestamp_seconds,Speech
JNb4nWexD0I,900,901.15,NO_SPEECH
JNb4nWexD0I,901.15,902.2,CLEAN_SPEECH
JNb4nWexD0I,902.2,902.66,SPEECH_WITH_NOISE
JNb4nWexD0I,902.66,904.79,NO_SPEECH
JNb4nWexD0I,904.79,905.4,CLEAN_SPEECH
JNb4nWexD0I,905.4,905.42,NO_SPEECH
JNb4nWexD0I,905.42,905.44,SPEECH_WITH_NOISE
JNb4nWexD0I,905.44,911.66,NO_SPEECH
JNb4nWexD0I,911.66,912.39,SPEECH_WITH_NOISE
JNb4nWexD0I,912.39,927.64,NO_SPEECH
JNb4nWexD0I,927.64,931.35,CLEAN_SPEECH
JNb4nWexD0I,931.35,935.2,NO_SPEECH
JNb4nWexD0I,935.2,936.3,SPEECH_WITH_NOISE
JNb4nWexD0I,936.3,937.35,NO_SPEECH
JNb4nWexD0I,937.35,938,SPEECH_WITH_NOISE
JNb4nWexD0I,938,940.52,NO_SPEECH
JNb4nWexD0I,940.52,941.51,SPEECH_WITH_NOISE
JNb4nWexD0I,941.51,948.67,NO_SPEECH
JNb4nWexD0I,948.67,949.15,SPEECH_WITH_NOISE
JNb4nWexD0I,949.15,952,NO_SPEECH
JNb4nWexD0I,952,953.79,SPEECH_WITH_MUSIC
JNb4nWexD0I,953.79,957.66,NO_SPEECH
JNb4nWexD0I,957.66,959.59,SPEECH_WITH_MUSIC
JNb4nWexD0I,959.59,960.34,NO_SPEECH
JNb4nWexD0I,960.34,960.79,SPEECH_WITH_MUSIC
JNb4nWexD0I,960.79,962.08,NO_SPEECH
JNb4nWexD0I,962.08,962.55,CLEAN_SPEECH
JNb4nWexD0I,962.55,963.98,SPEECH_WITH_MUSIC
JNb4nWexD0I,963.98,964.91,NO_SPEECH
JNb4nWexD0I,964.91,965.44,SPEECH_WITH_MUSIC
JNb4nWexD0I,965.44,966.55,NO_SPEECH
JNb4nWexD0I,966.55,967.03,SPEECH_WITH_NOISE
JNb4nWexD0I,967.03,967.91,NO_SPEECH
JNb4nWexD0I,967.91,968.63,SPEECH_WITH_NOISE
JNb4nWexD0I,968.63,970.66,NO_SPEECH
JNb4nWexD0I,970.66,972.35,CLEAN_SPEECH
JNb4nWexD0I,972.35,973.59,NO_SPEECH
JNb4nWexD0I,973.59,975.11,SPEECH_WITH_MUSIC
JNb4nWexD0I,975.11,976.28,NO_SPEECH
JNb4nWexD0I,976.28,977.79,SPEECH_WITH_MUSIC
JNb4nWexD0I,977.79,978.84,NO_SPEECH
JNb4nWexD0I,978.84,979.52,SPEECH_WITH_MUSIC
JNb4nWexD0I,979.52,981.96,NO_SPEECH
JNb4nWexD0I,981.96,983.67,SPEECH_WITH_MUSIC
JNb4nWexD0I,983.67,985.11,NO_SPEECH
JNb4nWexD0I,985.11,988.4,SPEECH_WITH_MUSIC
JNb4nWexD0I,988.4,989.44,NO_SPEECH
JNb4nWexD0I,989.44,991.67,SPEECH_WITH_MUSIC
JNb4nWexD0I,991.67,992.71,NO_SPEECH
JNb4nWexD0I,992.71,995.75,SPEECH_WITH_MUSIC
JNb4nWexD0I,995.75,1003,NO_SPEECH
JNb4nWexD0I,1003,1003.78,SPEECH_WITH_MUSIC
JNb4nWexD0I,1003.78,1006.79,NO_SPEECH
JNb4nWexD0I,1006.79,1007.66,SPEECH_WITH_MUSIC
JNb4nWexD0I,1007.66,1010.08,NO_SPEECH
JNb4nWexD0I,1010.08,1011.47,SPEECH_WITH_MUSIC
JNb4nWexD0I,1011.47,1012.28,NO_SPEECH
JNb4nWexD0I,1012.28,1013.79,SPEECH_WITH_MUSIC
JNb4nWexD0I,1013.79,1015.44,NO_SPEECH
JNb4nWexD0I,1015.44,1016.96,SPEECH_WITH_MUSIC
JNb4nWexD0I,1016.96,1018.79,NO_SPEECH
JNb4nWexD0I,1018.79,1020.55,SPEECH_WITH_MUSIC
JNb4nWexD0I,1020.55,1022.71,NO_SPEECH
JNb4nWexD0I,1022.71,1023.84,SPEECH_WITH_MUSIC
JNb4nWexD0I,1023.84,1025.34,NO_SPEECH
JNb4nWexD0I,1025.34,1029.94,SPEECH_WITH_MUSIC
JNb4nWexD0I,1029.94,1032.23,NO_SPEECH
JNb4nWexD0I,1032.23,1032.71,SPEECH_WITH_MUSIC
JNb4nWexD0I,1032.71,1037.04,NO_SPEECH
JNb4nWexD0I,1037.04,1038.43,SPEECH_WITH_MUSIC
JNb4nWexD0I,1038.43,1043.04,NO_SPEECH
JNb4nWexD0I,1043.04,1043.76,SPEECH_WITH_MUSIC
JNb4nWexD0I,1043.76,1048.15,NO_SPEECH
JNb4nWexD0I,1048.15,1048.64,SPEECH_WITH_MUSIC
JNb4nWexD0I,1048.64,1053.88,NO_SPEECH
JNb4nWexD0I,1053.88,1054.8,SPEECH_WITH_MUSIC
JNb4nWexD0I,1054.8,1055.52,NO_SPEECH
JNb4nWexD0I,1055.52,1056.18,SPEECH_WITH_MUSIC
JNb4nWexD0I,1056.18,1073.11,NO_SPEECH
JNb4nWexD0I,1073.11,1074.91,SPEECH_WITH_NOISE
JNb4nWexD0I,1074.91,1076.35,NO_SPEECH
JNb4nWexD0I,1076.35,1079.31,SPEECH_WITH_NOISE
JNb4nWexD0I,1079.31,1080,NO_SPEECH
JNb4nWexD0I,1080,1092.95,SPEECH_WITH_NOISE
JNb4nWexD0I,1092.95,1094.18,NO_SPEECH
JNb4nWexD0I,1094.18,1094.88,SPEECH_WITH_NOISE
JNb4nWexD0I,1094.88,1100.31,NO_SPEECH
JNb4nWexD0I,1100.31,1101.04,SPEECH_WITH_NOISE
JNb4nWexD0I,1101.04,1102.19,NO_SPEECH
JNb4nWexD0I,1102.19,1124.04,SPEECH_WITH_NOISE
JNb4nWexD0I,1124.04,1125.71,NO_SPEECH
JNb4nWexD0I,1125.71,1130.31,SPEECH_WITH_NOISE
JNb4nWexD0I,1130.31,1131.31,NO_SPEECH
JNb4nWexD0I,1131.31,1140,SPEECH_WITH_NOISE
JNb4nWexD0I,1140,1140.83,CLEAN_SPEECH
